iter	RMSE
0	0.02116672982
1	0.02112171222
2	0.02107732917
3	0.02103755433
4	0.02099914393
5	0.02096030392
6	0.02092470804
7	0.02089167021
8	0.02085795921
9	0.02082660537
10	0.02079677336
11	0.02077020646
12	0.02074334944
13	0.02071781852
14	0.0206923831
15	0.02066840917
16	0.02064399802
17	0.02062200028
18	0.02060106072
19	0.0205823261
20	0.02056131781
21	0.02053738106
22	0.02052028435
23	0.02050527718
24	0.0204893642
25	0.02047486691
26	0.02045228357
27	0.02043660687
28	0.02042410921
29	0.02041150716
30	0.02039849717
31	0.02038605407
32	0.02037394665
33	0.02035418695
34	0.02034229908
35	0.02032253315
36	0.0203084569
37	0.02029162102
38	0.0202730011
39	0.02025702268
40	0.02024615475
41	0.02023538523
42	0.02021995483
43	0.02021069412
44	0.02019349376
45	0.02018409399
46	0.02016908968
47	0.02015937677
48	0.02015060084
49	0.020136388
50	0.02012251145
51	0.02010815395
52	0.02009897514
53	0.02008429893
54	0.02007021955
55	0.02005760757
56	0.02004464529
57	0.02003721125
58	0.02002947764
59	0.02002148742
60	0.02001163365
61	0.0199984006
62	0.01999028729
63	0.01997796395
64	0.01996648155
65	0.01995654097
66	0.01994926835
67	0.01994069707
68	0.01992911431
69	0.01992187365
70	0.01991221757
71	0.01990148499
72	0.01989146415
73	0.01988268586
74	0.01987377134
75	0.01986629454
76	0.01986168134
77	0.01985387661
78	0.01984694923
79	0.0198385632
80	0.0198304299
81	0.01982192411
82	0.01981495713
83	0.01980792947
84	0.0198001128
85	0.01979453053
86	0.01978555535
87	0.01977900991
88	0.01977406003
89	0.01976789953
90	0.01976228176
91	0.01975620016
92	0.01975001724
93	0.01974209943
94	0.01973643017
95	0.0197306182
96	0.01972731
97	0.01972099159
98	0.01971564012
99	0.01971217133
100	0.01970629612
101	0.01969938921
102	0.01969438183
103	0.01968958265
104	0.01968411241
105	0.01967840192
106	0.01967235631
107	0.01966641189
108	0.01965979368
109	0.01965534695
110	0.01965061609
111	0.01964473841
112	0.01963759395
113	0.01963236999
114	0.01962608763
115	0.01962173595
116	0.01961617528
117	0.01960990598
118	0.01960295736
119	0.01959819568
120	0.01959206343
121	0.01958745248
122	0.01958255462
123	0.01957676507
124	0.01957351406
125	0.01956776618
126	0.01956141784
127	0.0195568934
128	0.0195515441
129	0.01954659414
130	0.01954280356
131	0.0195388408
132	0.01953609085
133	0.01953237206
134	0.01952854585
135	0.0195231115
136	0.01952046659
137	0.01951536432
138	0.01951116029
139	0.0195069674
140	0.01950227625
141	0.019499665
142	0.0194956546
143	0.01949235818
144	0.01948950349
145	0.01948572484
146	0.01948081102
147	0.01947746737
148	0.01947474878
149	0.01947113749
150	0.01946730902
151	0.01946192088
152	0.01945940031
153	0.0194548526
154	0.01945094812
155	0.01944681899
156	0.01944419044
157	0.01944046419
158	0.01943557567
159	0.01943244167
160	0.01942820091
161	0.01942445521
162	0.01942105498
163	0.01941734062
164	0.01941212441
165	0.01940902795
166	0.01940571719
167	0.01940381378
168	0.01939877108
169	0.01939619129
170	0.01939206929
171	0.01938796369
172	0.01938538244
173	0.01938087087
174	0.0193759393
175	0.01937298321
176	0.01937058716
177	0.01936878452
178	0.01936495007
179	0.01936224379
180	0.01935959945
181	0.01935737802
182	0.01935515606
183	0.01935180899
184	0.0193472021
185	0.01934467059
186	0.01934080944
187	0.01933700625
188	0.01933288061
189	0.01933015309
190	0.01932727322
191	0.01932502022
192	0.01932285055
193	0.01931880741
194	0.01931553359
195	0.01931131239
196	0.01930854739
197	0.01930558803
198	0.01930125868
199	0.01929810831
200	0.01929422908
201	0.01929181053
